incident_id,delivery_id,incident_type,reported_at,severity,resolution_status,resolved_hours
I0001,DL00221,BatteryAlert,2024-03-11 23:46:00,Medium,Escalated,12.3
I0002,DL00578,BatteryAlert,2024-02-21 10:56:00,Low,Open,9.6
I0003,DL00175,TemperatureIssue,2025-04-17 23:22:00,Medium,Open,22.0
I0004,DL00417,ProofMissing,2025-02-09 00:16:00,Medium,Closed,9.8
I0005,DL00897,RouteDeviation,2025-01-04 02:49:00,Low,Open,13.0
I0006,DL00634,CustomerNoShow,2025-08-08 21:26:00,High,PendingVendor,19.9
I0007,DL00495,AppSyncError,2024-05-23 02:29:00,Low,PendingVendor,4.8
I0008,DL00602,RouteDeviation,2024-08-17 01:27:00,Medium,Closed,12.1
I0009,DL00636,CustomerNoShow,2024-08-24 22:28:00,Medium,Closed,15.8
I0010,DL00052,CustomerNoShow,2025-05-06 14:17:00,Medium,Closed,9.4
I0011,DL00376,CustomerNoShow,2024-09-21 19:17:00,Medium,Closed,20.4
I0012,DL00366,RouteDeviation,2025-07-24 06:39:00,Medium,Escalated,18.7
I0013,DL00253,BatteryAlert,2024-09-30 07:49:00,High,Closed,20.9
I0014,DL00075,VehicleFault,2024-08-06 04:32:00,High,Open,5.0
I0015,DL00607,ProofMissing,2024-09-11 17:48:00,High,Closed,
I0016,DL00724,AppSyncError,2024-10-10 08:26:00,Low,PendingVendor,18.7
I0017,DL00809,ProofMissing,2025-02-27 00:31:00,Low,Closed,
I0018,DL00574,AppSyncError,2025-11-08 21:55:00,High,Closed,10.5
I0019,DL00685,BatteryAlert,2024-02-12 07:05:00,High,Closed,11.3
I0020,DL00921,TemperatureIssue,2025-01-04 04:14:00,Critical,Closed,3.3
I0021,DL00186,SafetyNearMiss,2024-01-14 06:44:00,Medium,Escalated,4.8
I0022,DL00097,BatteryAlert,2024-07-17 01:29:00,Medium,Escalated,26.8
I0023,DL00904,ProofMissing,2025-08-19 08:30:00,Medium,Escalated,4.8
I0024,DL00850,ProofMissing,2025-08-30 22:55:00,Low,Closed,12.0
I0025,DL00413,BatteryAlert,2024-08-30 02:36:00,Medium,PendingVendor,5.7
I0026,DL00254,RouteDeviation,2024-12-29 16:12:00,High,Closed,16.8
I0027,DL00474,VehicleFault,2025-02-25 04:16:00,Medium,Closed,4.3
I0028,DL00479,RouteDeviation,2024-11-03 04:12:00,Low,Closed,21.2
I0029,DL00198,VehicleFault,2024-12-08 08:07:00,Medium,Open,11.8
I0030,DL00448,RouteDeviation,2024-08-30 15:06:00,Low,Escalated,20.9
I0031,DL00587,ProofMissing,2024-01-12 10:43:00,Low,Escalated,16.7
I0032,DL00181,VehicleFault,2024-08-26 02:02:00,Low,Open,11.3
I0033,DL00694,BatteryAlert,2024-03-31 09:38:00,Medium,Open,4.3
I0034,DL00684,AppSyncError,2024-02-06 14:01:00,Medium,PendingVendor,23.7
I0035,DL00882,AppSyncError,2024-06-26 15:00:00,Low,Closed,0.8
I0036,DL00272,VehicleFault,2025-09-02 17:36:00,Low,Closed,7.8
I0037,DL00938,TemperatureIssue,2024-04-04 06:40:00,High,Closed,13.3
I0038,DL00032,ProofMissing,2025-01-29 06:31:00,Medium,Closed,5.2
I0039,DL00208,SafetyNearMiss,2024-04-13 05:39:00,High,Closed,2.6
I0040,DL00573,ProofMissing,2024-05-08 00:38:00,Medium,Escalated,8.1
I0041,DL00072,SafetyNearMiss,2025-11-20 07:56:00,Medium,Closed,17.3
I0042,DL00547,TemperatureIssue,2025-10-07 21:18:00,Medium,Closed,22.7
I0043,DL00009,AppSyncError,2024-04-12 22:42:00,Low,Open,20.1
I0044,DL00590,ProofMissing,2024-08-31 06:13:00,Critical,Closed,3.2
I0045,DL00341,BatteryAlert,2024-11-14 01:36:00,Medium,Open,12.2
I0046,DL00014,ProofMissing,2024-05-07 14:02:00,High,PendingVendor,6.9
I0047,DL00919,SafetyNearMiss,2025-12-26 23:23:00,Medium,Open,23.6
I0048,DL00265,RouteDeviation,2024-06-28 12:42:00,Low,Closed,2.2
I0049,DL00493,BatteryAlert,2025-08-09 21:45:00,Medium,Closed,24.3
I0050,DL00207,CustomerNoShow,2024-03-17 01:48:00,High,Open,20.9
I0051,DL00365,CustomerNoShow,2025-09-05 09:36:00,Low,PendingVendor,24.8
I0052,DL00690,VehicleFault,2024-12-12 07:51:00,Medium,Open,21.6
I0053,DL00864,ProofMissing,2025-10-27 18:48:00,Critical,Escalated,11.9
I0054,DL00324,ProofMissing,2024-08-14 07:43:00,Low,Closed,17.0
I0055,DL00633,RouteDeviation,2024-12-11 06:59:00,High,Open,21.5
I0056,DL00788,VehicleFault,2025-05-07 05:14:00,Low,PendingVendor,14.5
I0057,DL00766,ProofMissing,2025-01-27 07:52:00,High,Open,6.7
I0058,DL00285,VehicleFault,2025-06-22 16:15:00,Low,Open,14.9
I0059,DL00670,VehicleFault,2024-08-30 20:57:00,High,Closed,15.7
I0060,DL00080,VehicleFault,2025-10-14 11:03:00,Low,Closed,1.0
I0061,DL00121,TemperatureIssue,2024-03-14 04:34:00,Medium,Open,20.1
I0062,DL00481,TemperatureIssue,2024-03-14 18:27:00,Low,Closed,23.5
I0063,DL00669,RouteDeviation,2025-06-01 06:53:00,Low,Open,13.3
I0064,DL00366,CustomerNoShow,2025-07-24 05:26:00,Medium,Closed,18.6
I0065,DL00435,ProofMissing,2024-09-13 19:32:00,Low,Closed,10.3
I0066,DL00042,RouteDeviation,2024-10-04 02:46:00,Low,Closed,28.0
I0067,DL00096,VehicleFault,2025-03-18 18:01:00,Medium,Closed,2.9
I0068,DL00799,CustomerNoShow,2024-04-25 20:37:00,Low,Open,16.6
I0069,DL00592,TemperatureIssue,2024-01-19 20:43:00,Medium,Closed,9.0
I0070,DL00250,CustomerNoShow,2024-08-27 18:10:00,Low,Open,9.5
I0071,DL00672,ProofMissing,2025-05-27 14:37:00,Critical,Closed,8.2
I0072,DL00503,VehicleFault,2024-03-15 01:30:00,Medium,Closed,1.4
I0073,DL00725,RouteDeviation,2025-11-29 02:34:00,High,Open,3.2
I0074,DL00256,AppSyncError,2025-01-22 16:01:00,Medium,PendingVendor,21.7
I0075,DL00568,ProofMissing,2024-11-11 10:10:00,Low,Closed,4.5
I0076,DL00382,RouteDeviation,2024-12-05 22:19:00,Medium,Closed,3.0
I0077,DL00455,ProofMissing,2024-04-12 09:41:00,Medium,Closed,14.2
I0078,DL00562,BatteryAlert,2024-12-14 13:04:00,Low,Closed,4.7
I0079,DL00187,ProofMissing,2024-03-05 23:18:00,High,Open,1.1
I0080,DL00336,ProofMissing,2025-02-21 18:38:00,Critical,Open,27.8
I0081,DL00224,AppSyncError,2025-01-20 04:36:00,High,Closed,20.3
I0082,DL00131,BatteryAlert,2025-07-05 13:14:00,High,Escalated,13.0
I0083,DL00820,ProofMissing,2024-12-13 20:29:00,High,PendingVendor,9.0
I0084,DL00478,TemperatureIssue,2024-01-31 20:03:00,High,PendingVendor,0.0
I0085,DL00928,RouteDeviation,2025-10-31 01:01:00,Low,PendingVendor,6.0
I0086,DL00247,CustomerNoShow,2024-12-31 14:48:00,Low,PendingVendor,7.2
I0087,DL00148,ProofMissing,2025-12-31 11:28:00,Medium,Open,
I0088,DL00348,ProofMissing,2024-10-08 02:28:00,High,Escalated,2.2
I0089,DL00915,RouteDeviation,2024-11-28 15:09:00,High,Closed,13.8
I0090,DL00576,ProofMissing,2024-11-17 03:39:00,High,Closed,2.6
I0091,DL00239,TemperatureIssue,2024-08-14 09:11:00,Medium,Closed,23.1
I0092,DL00847,ProofMissing,2024-12-22 20:55:00,High,Open,
I0093,DL00056,AppSyncError,2024-10-22 23:20:00,Medium,PendingVendor,12.3
I0094,DL00887,CustomerNoShow,2025-06-10 00:31:00,High,PendingVendor,12.5
I0095,DL00317,ProofMissing,2024-12-15 15:29:00,Low,Closed,7.9
I0096,DL00748,CustomerNoShow,2025-05-30 04:50:00,Low,PendingVendor,7.4
I0097,DL00629,CustomerNoShow,2024-05-23 09:17:00,Medium,Closed,0.2
I0098,DL00810,TemperatureIssue,2025-03-09 18:58:00,Critical,PendingVendor,2.8
I0099,DL00309,VehicleFault,2024-06-29 01:41:00,Critical,Open,2.8
I0100,DL00306,CustomerNoShow,2024-12-15 22:19:00,High,Closed,0.4
I0101,DL00578,VehicleFault,2024-02-21 09:51:00,Low,PendingVendor,10.9
I0102,DL00857,VehicleFault,2025-10-29 19:52:00,Critical,PendingVendor,26.7
I0103,DL00655,ProofMissing,2025-09-10 04:24:00,Low,Closed,41.7
I0104,DL00094,AppSyncError,2025-05-26 23:23:00,Medium,Open,4.8
I0105,DL00913,CustomerNoShow,2024-05-18 09:18:00,Critical,Open,10.0
I0106,DL00754,RouteDeviation,2025-03-21 15:11:00,Medium,PendingVendor,10.2
I0107,DL00612,BatteryAlert,2024-12-05 05:43:00,Low,Closed,9.7
I0108,DL00265,CustomerNoShow,2024-06-28 13:27:00,High,Closed,
I0109,DL00760,RouteDeviation,2024-07-23 16:26:00,High,Open,20.3
I0110,DL00855,TemperatureIssue,2025-01-08 13:40:00,Medium,Closed,31.4
I0111,DL00403,SafetyNearMiss,2025-11-02 11:15:00,Low,Escalated,
I0112,DL00627,BatteryAlert,2024-03-19 13:29:00,High,Open,1.7
I0113,DL00562,AppSyncError,2024-12-14 11:33:00,Medium,Closed,16.8
I0114,DL00373,RouteDeviation,2024-01-20 07:06:00,Low,Closed,20.6
I0115,DL00027,BatteryAlert,2024-01-01 05:05:00,Critical,Open,15.4
I0116,DL00019,SafetyNearMiss,2024-06-26 00:10:00,Critical,Escalated,12.1
I0117,DL00911,RouteDeviation,2025-04-17 18:32:00,High,PendingVendor,0.6
I0118,DL00778,SafetyNearMiss,2024-09-28 20:47:00,High,Escalated,13.9
I0119,DL00273,AppSyncError,2025-10-16 05:16:00,High,Closed,3.7
I0120,DL00169,VehicleFault,2025-04-26 10:06:00,High,Closed,0.4
I0121,DL00859,AppSyncError,2024-09-21 11:35:00,Medium,Closed,4.9
I0122,DL00518,RouteDeviation,2025-04-15 03:13:00,High,Open,18.1
I0123,DL00939,CustomerNoShow,2025-01-10 20:08:00,Medium,Closed,20.1
I0124,DL00324,TemperatureIssue,2024-08-14 07:12:00,Critical,Closed,4.9
I0125,DL00511,RouteDeviation,2025-12-30 09:16:00,Medium,Open,11.4
I0126,DL00688,RouteDeviation,2025-10-24 17:22:00,Medium,Closed,6.7
I0127,DL00404,TemperatureIssue,2024-04-03 05:31:00,Low,Escalated,13.1
I0128,DL00743,RouteDeviation,2025-05-01 05:28:00,Low,Open,19.5
I0129,DL00456,ProofMissing,2024-09-16 22:56:00,Medium,Closed,15.5
I0130,DL00496,CustomerNoShow,2024-04-23 22:00:00,Critical,Open,14.6
I0131,DL00577,TemperatureIssue,2024-01-12 22:06:00,Medium,Closed,12.0
I0132,DL00768,TemperatureIssue,2024-01-29 05:15:00,Medium,Closed,4.9
I0133,DL00523,VehicleFault,2024-05-26 19:46:00,Critical,Closed,14.2
I0134,DL00423,BatteryAlert,2025-10-05 16:20:00,Medium,Open,3.8
I0135,DL00011,ProofMissing,2024-02-02 04:42:00,Medium,Open,
I0136,DL00414,CustomerNoShow,2024-03-12 18:37:00,High,Closed,16.1
I0137,DL00525,BatteryAlert,2024-04-22 08:02:00,Low,Closed,1.0
I0138,DL00050,AppSyncError,2025-09-05 05:30:00,Medium,Escalated,
I0139,DL00126,ProofMissing,2024-04-09 17:00:00,Medium,PendingVendor,11.4
I0140,DL00790,RouteDeviation,2024-10-26 16:14:00,High,Open,10.9
I0141,DL00294,RouteDeviation,2025-10-20 03:35:00,Low,Closed,18.0
I0142,DL00192,SafetyNearMiss,2025-08-18 23:10:00,Medium,Escalated,14.4
I0143,DL00848,VehicleFault,2024-02-12 16:28:00,High,Open,14.5
I0144,DL00288,CustomerNoShow,2024-06-20 13:44:00,Medium,Open,5.5
I0145,DL00418,BatteryAlert,2024-11-02 09:19:00,Critical,Closed,10.2
I0146,DL00291,ProofMissing,2024-11-27 06:22:00,Low,Closed,1.5
I0147,DL00771,CustomerNoShow,2024-08-11 04:09:00,Medium,Closed,19.6
I0148,DL00247,RouteDeviation,2024-12-31 13:52:00,Low,Closed,18.6
I0149,DL00944,CustomerNoShow,2024-01-10 08:12:00,Medium,Closed,3.1
I0150,DL00714,ProofMissing,2025-10-06 08:55:00,Medium,PendingVendor,3.1
I0151,DL00569,CustomerNoShow,2025-11-07 02:53:00,Low,Open,24.2
I0152,DL00548,AppSyncError,2024-06-25 12:34:00,Medium,PendingVendor,17.6
I0153,DL00766,AppSyncError,2025-01-27 07:51:00,Medium,Closed,10.5
I0154,DL00603,BatteryAlert,2024-03-16 09:54:00,Medium,Open,13.0
I0155,DL00507,RouteDeviation,2025-04-30 01:04:00,High,Open,18.4
I0156,DL00772,VehicleFault,2024-10-24 09:55:00,High,Escalated,10.8
I0157,DL00307,TemperatureIssue,2024-09-22 19:02:00,Medium,Closed,7.2
I0158,DL00308,CustomerNoShow,2024-01-16 02:49:00,High,Closed,4.6
I0159,DL00776,VehicleFault,2024-11-19 17:18:00,Medium,Closed,1.4
I0160,DL00806,BatteryAlert,2025-12-28 15:15:00,Low,Closed,10.2
I0161,DL00402,AppSyncError,2024-12-04 02:29:00,Medium,PendingVendor,8.9
I0162,DL00231,TemperatureIssue,2024-03-28 02:07:00,Medium,Open,12.9
I0163,DL00062,AppSyncError,2024-02-24 19:54:00,Medium,Open,4.9
I0164,DL00844,RouteDeviation,2025-01-03 20:43:00,Critical,Closed,15.9
I0165,DL00057,VehicleFault,2024-12-09 12:50:00,Medium,Open,0.1
I0166,DL00529,TemperatureIssue,2024-09-01 09:50:00,High,Escalated,8.1
I0167,DL00364,BatteryAlert,2024-01-14 04:25:00,Low,PendingVendor,15.2
I0168,DL00820,TemperatureIssue,2024-12-13 20:11:00,High,Closed,7.1
I0169,DL00443,CustomerNoShow,2024-01-01 10:12:00,Low,PendingVendor,9.1
I0170,DL00009,BatteryAlert,2024-04-12 22:24:00,Medium,Closed,7.4
I0171,DL00900,VehicleFault,2024-10-02 17:28:00,High,Open,18.4
I0172,DL00508,RouteDeviation,2024-08-19 21:21:00,High,PendingVendor,4.3
I0173,DL00300,CustomerNoShow,2024-09-25 14:37:00,Medium,Open,17.9
I0174,DL00882,BatteryAlert,2024-06-26 16:01:00,Medium,Closed,
I0175,DL00095,RouteDeviation,2024-01-08 02:06:00,Medium,Open,18.6
I0176,DL00262,VehicleFault,2025-04-09 22:47:00,High,Closed,
I0177,DL00068,RouteDeviation,2024-02-19 18:08:00,Critical,Escalated,18.1
I0178,DL00500,CustomerNoShow,2024-09-01 06:27:00,Low,PendingVendor,20.1
I0179,DL00907,BatteryAlert,2024-04-17 03:46:00,Low,Closed,6.9
I0180,DL00001,ProofMissing,2024-06-18 11:38:00,High,Open,5.6
I0181,DL00254,CustomerNoShow,2024-12-29 16:47:00,Low,Open,25.3
I0182,DL00476,AppSyncError,2024-05-06 01:19:00,Medium,PendingVendor,10.3
I0183,DL00783,ProofMissing,2025-02-20 01:08:00,Low,Closed,11.8
I0184,DL00688,BatteryAlert,2025-10-24 20:34:00,Medium,Open,7.2
I0185,DL00446,RouteDeviation,2025-10-21 03:58:00,High,Closed,5.1
I0186,DL00933,ProofMissing,2025-12-23 14:27:00,Medium,Open,16.3
I0187,DL00404,ProofMissing,2024-04-03 05:29:00,High,Closed,5.6
I0188,DL00274,BatteryAlert,2025-01-13 07:02:00,Low,Open,11.5
I0189,DL00596,RouteDeviation,2025-06-22 01:34:00,High,Escalated,23.7
I0190,DL00804,ProofMissing,2025-11-09 06:08:00,Medium,Closed,7.2
I0191,DL00358,AppSyncError,2025-11-22 03:12:00,Medium,Closed,12.9
I0192,DL00922,BatteryAlert,2024-03-08 22:15:00,Medium,Closed,0.1
I0193,DL00469,VehicleFault,2025-04-10 03:52:00,High,Open,9.1
I0194,DL00455,CustomerNoShow,2024-04-12 12:07:00,Low,Escalated,6.0
I0195,DL00810,TemperatureIssue,2025-03-09 20:27:00,Medium,Escalated,16.3
I0196,DL00013,VehicleFault,2025-01-26 10:52:00,Medium,Closed,0.2
I0197,DL00747,VehicleFault,2025-11-10 07:11:00,Medium,PendingVendor,11.2
I0198,DL00765,ProofMissing,2024-01-01 06:44:00,Medium,Open,3.1
I0199,DL00190,ProofMissing,2025-11-01 01:32:00,Medium,Open,33.8
I0200,DL00938,TemperatureIssue,2024-04-04 05:43:00,Low,PendingVendor,16.7
I0201,DL00170,RouteDeviation,2025-06-04 05:25:00,Medium,PendingVendor,8.2
I0202,DL00661,ProofMissing,2024-12-01 02:55:00,High,Closed,5.0
I0203,DL00475,SafetyNearMiss,2024-06-03 11:44:00,Medium,Open,13.2
I0204,DL00553,AppSyncError,2024-07-03 17:43:00,Low,Open,27.4
I0205,DL00253,ProofMissing,2024-09-30 08:49:00,Low,Closed,13.5
I0206,DL00331,AppSyncError,2025-11-23 23:51:00,Low,Escalated,9.2
I0207,DL00947,CustomerNoShow,2024-10-25 17:54:00,Low,Open,14.7
I0208,DL00225,ProofMissing,2025-10-05 23:13:00,Medium,Closed,
I0209,DL00434,ProofMissing,2024-09-28 12:08:00,High,Closed,2.3
I0210,DL00650,VehicleFault,2025-11-29 08:07:00,Medium,Open,4.0
I0211,DL00943,RouteDeviation,2024-03-17 18:41:00,Low,Escalated,11.6
I0212,DL00391,RouteDeviation,2024-11-05 08:57:00,Medium,Closed,2.3
I0213,DL00855,BatteryAlert,2025-01-08 14:27:00,Medium,Open,17.7
I0214,DL00928,AppSyncError,2025-10-30 23:54:00,High,Closed,
I0215,DL00299,RouteDeviation,2024-04-29 23:25:00,Critical,Open,8.6
I0216,DL00094,BatteryAlert,2025-05-26 23:41:00,Medium,Closed,
I0217,DL00205,RouteDeviation,2024-09-18 00:46:00,Low,Closed,19.2
I0218,DL00463,BatteryAlert,2025-09-17 02:24:00,Medium,PendingVendor,18.1
I0219,DL00739,AppSyncError,2025-11-03 12:11:00,Medium,PendingVendor,5.5
I0220,DL00894,BatteryAlert,2025-11-18 13:08:00,Medium,Closed,12.7
I0221,DL00329,CustomerNoShow,2025-10-01 22:29:00,Critical,Closed,3.2
I0222,DL00706,AppSyncError,2025-07-12 06:38:00,Medium,PendingVendor,
I0223,DL00545,BatteryAlert,2024-06-16 08:16:00,High,Escalated,17.3
I0224,DL00325,VehicleFault,2024-11-06 13:19:00,Medium,Open,8.4
I0225,DL00447,VehicleFault,2025-04-12 21:13:00,Medium,PendingVendor,1.6
I0226,DL00248,TemperatureIssue,2025-08-22 18:22:00,Low,Closed,12.5
I0227,DL00139,VehicleFault,2025-08-05 04:36:00,Low,Open,7.1
I0228,DL00038,BatteryAlert,2025-10-26 18:53:00,Medium,Closed,11.8
I0229,DL00557,VehicleFault,2024-11-19 16:54:00,Medium,PendingVendor,12.8
I0230,DL00578,TemperatureIssue,2024-02-21 09:47:00,Medium,Escalated,1.3
I0231,DL00272,CustomerNoShow,2025-09-02 16:25:00,Low,Open,2.5
I0232,DL00464,TemperatureIssue,2024-05-02 18:19:00,Medium,PendingVendor,29.3
I0233,DL00673,SafetyNearMiss,2024-09-29 11:20:00,High,PendingVendor,0.4
I0234,DL00194,CustomerNoShow,2025-08-07 12:06:00,Critical,Closed,10.2
I0235,DL00339,AppSyncError,2025-06-22 12:40:00,High,Open,2.1
I0236,DL00108,CustomerNoShow,2024-11-08 05:01:00,Low,Closed,11.7
I0237,DL00397,ProofMissing,2024-03-10 18:24:00,Critical,Closed,11.8
I0238,DL00336,SafetyNearMiss,2025-02-21 18:42:00,Low,Closed,4.0
I0239,DL00239,CustomerNoShow,2024-08-14 12:07:00,Medium,Escalated,10.8
I0240,DL00213,CustomerNoShow,2025-10-16 10:42:00,Low,Closed,14.9
I0241,DL00189,CustomerNoShow,2024-11-05 13:46:00,High,Escalated,21.0
I0242,DL00798,AppSyncError,2024-08-01 00:27:00,Low,Closed,16.5
I0243,DL00052,CustomerNoShow,2025-05-06 14:07:00,Medium,Closed,25.6
I0244,DL00421,AppSyncError,2025-07-06 00:57:00,Critical,Closed,10.3
I0245,DL00347,ProofMissing,2024-12-09 02:59:00,Low,Open,20.8
I0246,DL00720,TemperatureIssue,2025-10-13 23:28:00,High,Escalated,8.2
I0247,DL00707,RouteDeviation,2025-11-12 10:47:00,Critical,Open,
I0248,DL00371,BatteryAlert,2024-03-31 09:36:00,High,Open,18.5
I0249,DL00404,SafetyNearMiss,2024-04-03 04:11:00,Medium,PendingVendor,6.4
I0250,DL00378,CustomerNoShow,2025-05-14 02:12:00,High,Closed,33.9
I0251,DL00135,CustomerNoShow,2025-07-28 06:36:00,High,Escalated,
I0252,DL00016,VehicleFault,2025-06-12 02:24:00,Medium,PendingVendor,3.8
I0253,DL00388,ProofMissing,2024-12-11 14:31:00,Low,PendingVendor,21.0
I0254,DL00275,VehicleFault,2025-02-09 20:10:00,High,Closed,23.6
I0255,DL00468,BatteryAlert,2025-04-20 07:56:00,High,Escalated,22.9
I0256,DL00073,TemperatureIssue,2025-07-23 07:40:00,Critical,Closed,20.0
I0257,DL00075,VehicleFault,2024-08-06 06:54:00,Medium,Closed,3.0
I0258,DL00036,AppSyncError,2024-11-09 01:48:00,Low,Open,19.9
I0259,DL00703,ProofMissing,2025-04-24 11:49:00,Critical,Open,9.6
I0260,DL00800,VehicleFault,2024-04-20 04:36:00,Low,PendingVendor,6.1
I0261,DL00599,CustomerNoShow,2025-02-20 09:24:00,Critical,Closed,19.0
I0262,DL00674,SafetyNearMiss,2024-01-16 07:01:00,Low,Open,6.5
I0263,DL00945,RouteDeviation,2025-01-24 07:15:00,Low,Closed,2.5
I0264,DL00772,VehicleFault,2024-10-24 07:59:00,High,Escalated,21.2
I0265,DL00734,CustomerNoShow,2025-01-20 01:08:00,High,Open,2.1
I0266,DL00608,VehicleFault,2024-12-28 18:53:00,Medium,Open,4.9
I0267,DL00874,AppSyncError,2025-03-08 08:30:00,High,Escalated,15.2
I0268,DL00108,RouteDeviation,2024-11-08 01:48:00,Low,Open,17.5
I0269,DL00153,RouteDeviation,2024-08-05 11:52:00,Low,Closed,23.3
I0270,DL00539,TemperatureIssue,2024-05-13 02:53:00,Low,Escalated,8.4
I0271,DL00755,RouteDeviation,2024-01-05 07:16:00,Medium,Open,
I0272,DL00050,BatteryAlert,2025-09-05 05:18:00,High,Closed,20.3
I0273,DL00369,CustomerNoShow,2024-02-12 23:47:00,Medium,Closed,15.8
I0274,DL00561,TemperatureIssue,2024-07-20 08:57:00,Critical,Closed,2.7
I0275,DL00804,RouteDeviation,2025-11-09 06:06:00,Low,Closed,16.9
I0276,DL00472,SafetyNearMiss,2025-12-01 22:02:00,High,PendingVendor,6.5
I0277,DL00116,CustomerNoShow,2025-10-14 15:24:00,Low,Closed,18.1
I0278,DL00725,TemperatureIssue,2025-11-29 00:45:00,Low,Closed,17.8
I0279,DL00089,AppSyncError,2025-04-01 17:37:00,Low,Open,20.1
I0280,DL00219,BatteryAlert,2024-08-07 06:39:00,Medium,PendingVendor,0.4
